names,row_num,notes
BARDSTOWN RD SAVEALOT ,1,
BROADWAY MARKET,1,
CASH SAVER ,1,
CROSSROADS IGA ,1,
LA POPULAR LLC,1,
LAMP FALL GROCERY STORE,1,church?
LUCKYS MARKET ,1,
MI PREFERIDA  LLC,1,
PRICE LESS FOODS ,1,
SCOTTS FOOD MART,1,
SHIVELY FOOD MART,1,
THE GROCERY OUTLET,1,
THE HILLEBRAND MARKET,1,
VIETHOA SUPERMARKET,1,
ABRAHA FOOD AND TABACCO MART,3,
ALIS FOOD MART ,3,
ASHBOURNE ENTERPRISES LLC,3,restaurant
BETHLEHAM  LLC,3,
BULLITT MART,3,
CONVENIENCE PLUS,3,
CROWN SMOKE SHOP  CHICKEN,3,
ELMARS,3,
FANTASTIC MARKET INC,3,
FIVE POINTS FOOD MART,3,
GRAB N GO ,3,
GRABANDGO,3,
J AND C GAS STATION,3,
JAYS FOOD MART,3,
JR MINI MART,3,
MAPCO ,3,
MAPCO MART ,3,
MAURI MART,3,
MELLWOOD VALERO,3,
NULU EDGE FOOD MARKET,3,
OAK FOOD MART,3,
ORIENTAL SUPERMARKET AND GIFT SHOP,3,
PAPA MURPHYS TAKE N BAKE PIZZA K,3,
PATELS FOOD MART,3,
PURITENS MART,3,
SHOP TODAY,3,restaurant
SHOP TODAY  INCSARA FOODMART,3,
ST MATTHEWS MINI MART,3,
TAYLOR BLVD VALERO,3,
THIRD SMOKE SHOP,3,
WEST END FOODS LLC,3,
WEST MARKET LLC,3,
ALFRATAIN,5,
BRIANS DELI,5,
EL REY ,5,
FISH N MORE,5,
GRAND MARKET,5,
LA ESPERANZA GROCERY LLC,5,
LOUISVILLE GROWS INC ,5,
MORS INTERNATIONAL GROCERY ,5,
PANADERIA Y TIENDA GUADALAJARA LLC,5,
PITA BREAD LLC,5,
SHREE SAI CORPORATION,5,
SMOKETOWN NEIGHBORHOOD FRESH STOP,5,
SUPERMERCADO GUANAJUATO,5,
WAYSIDE CHRISTIAN MISSION,5,
WELLINGTON FRESH STOP,5,
WORLD FOOD MARKET INC,5,
TH AND HILL MARKET LLC,6,
