names,code
FAMILY DOLLAR STOER ,445120
THORNTONS ,445120
FAMILY DOLLAR ,445120
AAA FOOD MART,447110
TIENDA MEXICANA GUANAJUATO,445200
STOP  GO FOOD MART ,447110
LA SIERRA TARASCA LLC,445200
THE LATIN FOOD BAKERY,445200
HAPPY FOOD MART,447110
COSTCO WHOLESALE ,452910
JAY FOOD MART I,447110
GRAY STREET FARMERS MARKET,6
HURSTBOURNE PKY FOOD CENTER,445120
FRESH STOP AT REDEEMER LUTHERAN CHURCH,5
PAPA MURPHYS,445120
FRIENDLY MART,447110
SUNRISE MARKET,6
BIG A FARMERS MARKET,6
FOOD MARKET AND S FLOYD TOBACCO,447110
DEAL MASTER,447110
DURAMART,447110
FIVE STAR HALAL MARKET LLC,445200
DONGAR FOOD MART  DELI ,447110
DIXIE FOOD MART,447110
THORNTONS INC ,445120
SUNSHINE GROCERY,445110
SAVEALOT ,445110
MIDWEST PETROLEUM,445120
ANAR FOOD MART,447110
STOP N GO FOOD MART,447110
SPEEDWAY  ,445120
GARDEN GATE FRUIT MARKET,447110
DONGAR FOOD MART  DELI  ,447110
STOP N GO FOOD MART ,447110
MACS FOOD MART,447110
QUICK FOOD MART,447110
BP MINI MART INC,445120
FARMBOY FOODMART,447110
SUPER MERCADO PUEBLA LLC,445200
DEALS ,445120
LICKETY SPLIT FOOD MART,447110
TRADER JOES ,445110
FRIENDLY STOP FOOD MART,447110
DONGAR FOOD MART ,447110
MIAMI FOOD MARKET ,447110
LA BELLA AIROSA,445200
FIVESTAR ,445120
PAPA MURPHYS ,445120
LA TROPICAL,445200
SMYRNA VALERO,445120
PHOENIX HILL NULU FARMERS MARKET,6
SISSY LIQUOR  GROCERY,445110
THE FRESH MARKET ,445110
SUPER USA ,445120
ANITA  SON FOOD MART INC,447110
SINGH FOOD MART,447110
LA CARIBENA,445200
PAPA MURPHYS PIZZA ,445120
AIRPORT SHELL,445120
ROSES ,445120
SUPER USA  MARATHON,445120
ALS SMOKE SHOP,445120
RHYTHM FOOD MART NO,447110
