name, row_num
FORTUNE  LLC  PIC PAC,4
STOP  SAVE FOOD MART,4
J  M FOODMART,4
LUCKY STAR PETRO,3
RALHLA ASIAN MARKET,5
ROCKFORD PLAZA LIQUOR ,4
GHANSHAYAM SWARUP LLC,5
F AND H FOOD MART LLC,4
LB SISTERS GROCERY STORE LLC,4
ABHINAV A LLC,3
QUICK STOP LIQUOR  MORE,4
PRP STOP AND GO,4
TH  VIRGINIA GROCERY STORE,4
HALA SOMKE SHOP AND GROCERY,4
Z  H SMOKERS LLC,4
GLOBAL HEROW STORE LLC,5
AYAAMIN LLC DBA DINOS ROCKFORD LANE,4
GENDLER GRAPEVINE FRESH STOP MARKET AT THE J,5
INNOUT FOOD MART,4
BELEL INTERNATIONAL MARKET LLC,5
WARSI TRADER LLC  DAILY MART,4
JYOTI MINI MART INC  MANLEYS MARATHON,3
SCHNITZELBURG COMMUNITY FARMERS MARKET,6
GULF POINT LLC  BOONES MARATHON,3
CONVENIENT PLUS,4
SHRI HANUMAN LLC  THIRD STREET GAS STATION,3
BROTHER FOOD MART,4
SHOP  GO,4
DIXIE QUICK STOP LLC,4
TAYLOR QUICK STOP,4
BROTHERS FOOD MART,4
JAY SAI LLC,4
FARIS LLC,5
SAVE MORE FOOD MART,4
EURO CAFE  BAKERY,5
DONGAR FOOD MART  DELI,4
SOUTH POINTS FARMERS MARKET,6
PRESTON CORNER,4
SUPERMERCADO LA ROSITA INC,5
WEBBS INC WEBBS MARKET,5
SHRI UMIYA LLC J FOOD MART,5
APPLE FOOD MART,4
IROQUOIS CONVENIENT FOOD MART,4
BODEGA MI SUENO CORP,5
NAYEF LLC,4
WABARI FOOD MARKET LLC,5
SOUTHSIDE PIC PAC INC ,4
TIENDA LA CHAPINLANDIA,5
MOS FOOD MART,4
WEST MARKET ,4
CITY MARKET,4
ROYAL BAZAAR,5
BUECHEL LIQUOR,4
P  P GROCERY,4
HAPPYS FOOD MART,4
ROSES EXPRESS ,4
KHODIYAR FOOD MART,4
SISTAS MEAT MARKET,5
VICTORY VARIETY MART,4
MURPHY USA ,4
PLATINUM FOODMART,4
LATIN AMERICAN CORNER CORP,5
THORNTONS GAS  FOOD MART ,3
KROGER L L,1
H  M FOOD MART,4
WALGREENS  ,4
THANGLONG,5
KROGER L,1
DERBY CITY PRODUCE,5
FIVE STAR FM ,4
WALMART SC ,2
F  M FOOD MART,4
KADERS SUPERMARKET ,5
BETTER WAY FOOD MART ,4
MEIJER ,2
NEIGHBORHOOD FOOD MART INC,4
CURTIS MARKET,4
KROGER L ,1
KROGER STORE L,1
RAINBOW BLOSSOM INC,1
KINGSLEY MEAT  SEAFOOD,5
BETTER BARGAINS,4
EZSUPER FOOD MART ,4
SCHWANS HOME SERVICE OF LOUISVILLE KY,4
SHALOM TOWERS GROCERIES INC,5
BUSSMANN BAKERY,5
RITE AID PHARMACY  ,4
RITE AID  ,4
KMART ,2
PORTLAND SAVE A LOT,4
B  E SALVAGE ,4
BLUE GRASS MEATS  SEAFOOD,5
WALMART STORE  ,1
WALMART SC  ,2
RAINBOW BLOSSOM NATURAL FOOD MRKT,1
BADERS FOOD MART,4
BOONE DBA CHEVRON FOOD MART,3
BINH PHUOC ORIENTAL MARKET,5
WALMART NEIGHBORHOOD MKT ,1
SUPER STOP FOOD MART,4
WHOLE FOODS MARKET ,1
SAVEALOT,1
SAVE A LOT ,1
KROGER  ,1
ALWATAN BAKERY INC,5
WALMART NEIGHBORHOOD MKT  ,1
DOLLAR GENERAL  ,4
GFS MARKETPLACE MP,2
CHOIS ASIAN FOOD MARKET,5
THORNTONS QUICK CAFE  MKT ,3
THORTONS ,3
TAYLOR BLVD PIC PAC,4
TOMS FRUIT MARKET,5
BEECHMONT OPEN AIR MARKET,6
BLUEGRASS GLOBAL GROWERS MARKET,6
DOUGLASS LOOP FARMERS MARKET,6
LOUISVILLE FARMERS MARKET,6
LYNDON FARMERS MARKET,6
OLD LOUISVILLE FARM WORKS MARKET,6
RAINBOW BLOSSOM FARMERS MARKET,6
SAINT ANDREW FARMERS MARKET,6
SOUTHWEST FARMERS MARKET LOUISVILLE KY,6
ST MATTHEWS FARMERS MARKET,6
WESTPORT RD BAPTIST FARMERS MARKET,6
