names,row_num,notes
ABRAHA FOOD AND TABACCO MART,3,
ALFRATAIN,4,
ALIS FOOD MART ,3,
ASHBOURNE ENTERPRISES LLC,3,
BARDSTOWN RD SAVEALOT ,1,
BETHLEHAM  LLC,3,church?
BRIANS DELI,4,
BROADWAY MARKET,1,
BULLITT MART,3,
CASH SAVER ,1,
CONVENIENCE PLUS,3,
CROSSROADS IGA ,1,
CROWN SMOKE SHOP  CHICKEN,3,
EL REY ,4,
ELMARS,3,
FANTASTIC MARKET INC,3,
FISH N MORE,4,restaurant
FIVE POINTS FOOD MART,3,
GRAB N GO ,3,
GRABANDGO,3,
GRAND MARKET,4,
J AND C GAS STATION,3,
JAYS FOOD MART,3,
JR MINI MART,3,
LA ESPERANZA GROCERY LLC,4,
LA POPULAR LLC,1,
LAMP FALL GROCERY STORE,1,
LOUISVILLE GROWS INC ,4,
LUCKYS MARKET ,1,
MAPCO ,3,
MAPCO MART ,3,
MAURI MART,3,
MELLWOOD VALERO,3,
MI PREFERIDA  LLC,1,
MORS INTERNATIONAL GROCERY ,4,
NULU EDGE FOOD MARKET,3,
OAK FOOD MART,3,
ORIENTAL SUPERMARKET AND GIFT SHOP,3,
PANADERIA Y TIENDA GUADALAJARA LLC,4,
PAPA MURPHYS TAKE N BAKE PIZZA K,3,restaurant
PATELS FOOD MART,3,
PITA BREAD LLC,4,
PRICE LESS FOODS ,1,
PURITENS MART,3,
SCOTTS FOOD MART,1,
SHIVELY FOOD MART,1,
SHOP TODAY,3,
SHOP TODAY  INCSARA FOODMART,3,
SHREE SAI CORPORATION,4,
SMOKETOWN NEIGHBORHOOD FRESH STOP,4,
ST MATTHEWS MINI MART,3,
SUPERMERCADO GUANAJUATO,4,
TAYLOR BLVD VALERO,3,
TH AND HILL MARKET LLC,6,
THE GROCERY OUTLET,1,
THE HILLEBRAND MARKET,1,
THIRD SMOKE SHOP,3,
VIETHOA SUPERMARKET,1,
WAYSIDE CHRISTIAN MISSION,4,
WELLINGTON FRESH STOP,4,
WEST END FOODS LLC,3,
WEST MARKET LLC,3,
WORLD FOOD MARKET INC,4,
