the_geom,business_hours_7_closing_time,id,title,content,type,address,city,state,zip,phone,notes,disclaimer,business_hours_0_day_of_week,latitude,longitude,marker_content,business_hours_0_opening_time,business_hours_0_closing_time,business_hours_1_day_of_week,business_hours_1_opening_time,business_hours_1_closing_time,business_hours_2_day_of_week,business_hours_2_opening_time,business_hours_2_closing_time,business_hours_3_day_of_week,business_hours_3_opening_time,business_hours_3_closing_time,business_hours_4_day_of_week,business_hours_4_opening_time,business_hours_4_closing_time,business_hours_5_day_of_week,business_hours_5_opening_time,business_hours_5_closing_time,business_hours_6_day_of_week,business_hours_6_opening_time,business_hours_6_closing_time,business_hours_7_day_of_week,business_hours_7_opening_time,cartodb_id,business_hours_8_day_of_week,business_hours_8_opening_time,business_hours_8_closing_time,business_hours_9_day_of_week,business_hours_9_opening_time,business_hours_9_closing_time,business_hours_10_day_of_week,business_hours_10_opening_time,business_hours_10_closing_time,business_hours_11_day_of_week,business_hours_11_opening_time,business_hours_11_closing_time,business_hours_12_day_of_week,business_hours_12_opening_time,business_hours_12_closing_time,business_hours_13_day_of_week,business_hours_13_opening_time,business_hours_13_closing_time,business_hours_14_day_of_week,business_hours_14_opening_time,business_hours_14_closing_time,business_hours_15_day_of_week,business_hours_15_opening_time,business_hours_15_closing_time,business_hours_16_day_of_week,business_hours_16_opening_time,business_hours_16_closing_time,business_hours_17_day_of_week,business_hours_17_opening_time,business_hours_17_closing_time,business_hours_18_day_of_week,business_hours_18_opening_time,business_hours_18_closing_time,business_hours_19_day_of_week,business_hours_19_opening_time,business_hours_19_closing_time,business_hours_20_day_of_week,business_hours_20_opening_time,business_hours_20_closing_time
0101000020E61000008B6CE7FBA97755C01EFD2FD7A2134340,,7635,United Missionary Baptist Church,,pantry,6706 Terry Road,Louisville,KY,40258,(502) 778-4126,,,4,38.153407,-85.86975,"<h4 class=""listing-infowindow-title"">United Missionary Baptist Church<img src=""/assets/plugins/dare-to-care-listings/public/img/pantry.png"" /></h4><p class=""listing-infowindow-address"">6706 Terry Road, Louisville, 40258 KY</p><p class=""listing-infowindow-phone"">(502) 778-4126</p><p class=""listing-infowindow-directions""><a href=""#"" onclick=""app.getDirections(7635); return false;"">Get Directions</a></p><h5 class=""listing-infowindow-hours"">Hours</h5><span>Thursday: </span><span>1:00 PM-3:00 PM</span><br><p class=""listing-infowindow-disclaimer""><em>Call before visiting the site to check on geographic restrictions/eligibility.</em></p>",01:00:00,03:00:00,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0101000020E6100000179B560A817055C0CA349A5C8C0D4340,,7569,First Baptist Church Fairdale,,pantry,413 Fairdale Road,Louisville,KY,40118,(502) 368-9053,,,3,38.105846,-85.757876,"<h4 class=""listing-infowindow-title"">First Baptist Church Fairdale<img src=""/assets/plugins/dare-to-care-listings/public/img/pantry.png"" /></h4><p class=""listing-infowindow-address"">413 Fairdale Road, Louisville, 40118 KY</p><p class=""listing-infowindow-phone"">(502) 368-9053</p><p class=""listing-infowindow-directions""><a href=""#"" onclick=""app.getDirections(7569); return false;"">Get Directions</a></p><h5 class=""listing-infowindow-hours"">Hours</h5><span>Wednesday: </span><span>4:00 PM-7:00 PM</span><br><p class=""listing-infowindow-disclaimer""><em>Call before visiting the site to check on geographic restrictions/eligibility.</em></p>",04:00:00,07:00:00,,,,,,,,,,,,,,,,,,,,,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0101000020E6100000685BCD3AE37555C0E945ED7E15104340,,7587,Life Church,,pantry,4413 East Pages Lane,Louisville,KY,40272,(502) 937-0930,,,4,38.125656,-85.841994,"<h4 class=""listing-infowindow-title"">Life Church<img src=""/assets/plugins/dare-to-care-listings/public/img/pantry.png"" /></h4><p class=""listing-infowindow-address"">4413 East Pages Lane, Louisville, 40272 KY</p><p class=""listing-infowindow-phone"">(502) 937-0930</p><p class=""listing-infowindow-directions""><a href=""#"" onclick=""app.getDirections(7587); return false;"">Get Directions</a></p><h5 class=""listing-infowindow-hours"">Hours</h5><span>Thursday: </span><span>5:30 PM-6:30 PM</span><br><p class=""listing-infowindow-disclaimer""><em>Call before visiting the site to check on geographic restrictions/eligibility.</em></p>",05:30:00,06:30:00,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0101000020E610000006DA1D520C7F55C0452BF702B32E4340,,7566,Faith Harvest Assembly,,pantry,6310 Buttontown Road,Greenville,IN,47124,(812) 207-5885,,,3,38.364838,-85.985127,"<h4 class=""listing-infowindow-title"">Faith Harvest Assembly<img src=""/assets/plugins/dare-to-care-listings/public/img/pantry.png"" /></h4><p class=""listing-infowindow-address"">6310 Buttontown Road, Greenville, 47124 IN</p><p class=""listing-infowindow-phone"">(812) 207-5885</p><p class=""listing-infowindow-directions""><a href=""#"" onclick=""app.getDirections(7566); return false;"">Get Directions</a></p><h5 class=""listing-infowindow-hours"">Hours</h5><span>Wednesday: </span><span>10:00 AM-1:00 PM</span><br><p class=""listing-infowindow-disclaimer""><em>Call before visiting the site to check on geographic restrictions/eligibility.</em></p>",10:00:00,01:00:00,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0101000020E610000086915ED4EE7055C0DC9F8B868C174340,,7476,Beechmont Community Center,,kids-cafe,205 W. Wellington Ave.,Louisville,KY,40214,(502) 361-5484,,,1,38.183976,-85.764577,"<h4 class=""listing-infowindow-title"">Beechmont Community Center<img src=""/assets/plugins/dare-to-care-listings/public/img/kids-cafe.png"" /></h4><p class=""listing-infowindow-address"">205 W. Wellington Ave., Louisville, 40214 KY</p><p class=""listing-infowindow-phone"">(502) 361-5484</p><p class=""listing-infowindow-directions""><a href=""#"" onclick=""app.getDirections(7476); return false;"">Get Directions</a></p><h5 class=""listing-infowindow-hours"">Hours</h5><span>Monday: </span><span>5:00 PM-5:30 PM</span><br><span>Tuesday: </span><span>5:00 PM-5:30 PM</span><br><span>Wednesday: </span><span>5:00 PM-5:30 PM</span><br><span>Thursday: </span><span>5:00 PM-5:30 PM</span><br><p class=""listing-infowindow-disclaimer""><em>Call before visiting the site to check on geographic restrictions/eligibility.</em></p>",05:00:00,05:30:00,2,05:00:00,05:30:00,3,05:00:00,05:30:00,4,05:00:00,05:30:00,,,,,,,,,,,,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0101000020E6100000A933F790F07255C0B403AE2B661E4340,,7532,St. George Community Center,,distribution-center,1205 South 26th Street,Louisville,KY,40210,(502) 776-0800,,,2,38.237493,-85.795933,"<h4 class=""listing-infowindow-title"">St. George Community Center<img src=""/assets/plugins/dare-to-care-listings/public/img/distribution-center.png"" /></h4><p class=""listing-infowindow-address"">1205 South 26th Street, Louisville, 40210 KY</p><p class=""listing-infowindow-phone"">(502) 776-0800</p><p class=""listing-infowindow-directions""><a href=""#"" onclick=""app.getDirections(7532); return false;"">Get Directions</a></p><h5 class=""listing-infowindow-hours"">Hours</h5><span>Tuesday: </span><span>08:00 AM-02:00 PM</span><br><span>Thursday: </span><span>10:00 AM-02:00 PM</span><br><p class=""listing-infowindow-disclaimer""><em>Call before visiting the site to check on geographic restrictions/eligibility.</em></p>",08:00:00,02:00:00,4,10:00:00,02:00:00,,,,,,,,,,,,,,,,,,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0101000020E610000043FC68DD2B7455C06D44E68013164340,,7760,Open Door Christian Church,,mobile-pantry,1520 Gagel Ave,Louisville,KY,40216,,"4th Tuesday of the month at 10 am. You may not gather on private property until  2 hours prior to the scheduled start time of the distribution. THIS SITE IS RESTRICTED TO ZIP CODES 40216-40258-40272-40177. ID MUST BE PROVIDED.  Please be present at the start time. When all in line are served, the distribution will be ended. ","Please bring your own box, bags, cart, containers to transport the food from the distribution tables to your car or home. The pantry may be cancelled due to weather conditions, too dangerous for the public. Please check this website at least 1 hour prior to the scheduled start time, for last minute updates. ",1,38.1724702,-85.8151773,"<h4 class=""listing-infowindow-title"">Open Door Christian Church<img src=""/assets/plugins/dare-to-care-listings/public/img/mobile-pantry.png"" /></h4><p class=""listing-infowindow-address"">1520 Gagel Ave, Louisville, 40216 KY</p><p class=""listing-infowindow-phone""></p><p class=""listing-infowindow-directions""><a href=""#"" onclick=""app.getDirections(7760); return false;"">Get Directions</a></p><h5 class=""listing-infowindow-hours"">Hours</h5><p class=""listing-infowindow-notes"">4th Tuesday of the month at 10 am. You may not gather on private property until  2 hours prior to the scheduled start time of the distribution. THIS SITE IS RESTRICTED TO ZIP CODES 40216-40258-40272-40177. ID MUST BE PROVIDED.  Please be present at the start time. When all in line are served, the distribution will be ended. </p><p class=""listing-infowindow-disclaimer"">Please bring your own box, bags, cart, containers to transport the food from the distribution tables to your car or home. The pantry may be cancelled due to weather conditions, too dangerous for the public. Please check this website at least 1 hour prior to the scheduled start time, for last minute updates. </p><p class=""listing-infowindow-disclaimer""><em>Call before visiting the site to check on geographic restrictions/eligibility.</em></p>",,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0101000020E6100000AD8A7093517955C068B0A9F3A80E4340,,7590,Lighthouse of Prayer,,pantry,9600 Cane Run Road,Louisville,KY,40258,(502) 408-6613,,,7,38.114531,-85.895604,"<h4 class=""listing-infowindow-title"">Lighthouse of Prayer<img src=""/assets/plugins/dare-to-care-listings/public/img/pantry.png"" /></h4><p class=""listing-infowindow-address"">9600 Cane Run Road, Louisville, 40258 KY</p><p class=""listing-infowindow-phone"">(502) 408-6613</p><p class=""listing-infowindow-directions""><a href=""#"" onclick=""app.getDirections(7590); return false;"">Get Directions</a></p><h5 class=""listing-infowindow-hours"">Hours</h5><span>Sunday: </span><span>3:00 PM-5:00 PM</span><br><p class=""listing-infowindow-disclaimer""><em>Call before visiting the site to check on geographic restrictions/eligibility.</em></p>",03:00:00,05:00:00,,,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0101000020E6100000CC4065FCFB6F55C0492BBEA1F01D4340,,7574,Generation Church,,pantry,334 E. Oak Street,Louisville,KY,40203,,,,4,38.233906,-85.749755,"<h4 class=""listing-infowindow-title"">Generation Church<img src=""/assets/plugins/dare-to-care-listings/public/img/pantry.png"" /></h4><p class=""listing-infowindow-address"">334 E. Oak Street, Louisville, 40203 KY</p><p class=""listing-infowindow-phone""></p><p class=""listing-infowindow-directions""><a href=""#"" onclick=""app.getDirections(7574); return false;"">Get Directions</a></p><h5 class=""listing-infowindow-hours"">Hours</h5><span>Thursday: </span><span>5:00 PM-7:00 PM</span><br><p class=""listing-infowindow-disclaimer""><em>Call before visiting the site to check on geographic restrictions/eligibility.</em></p>",05:00:00,07:00:00,,,,,,,,,,,,,,,,,,,,,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0101000020E610000071AAB5300B6E55C0E2900DA48BFF4240,,7501,Shepherdsville Elementary,,kids-cafe,527 W. Blue Lick Road,Shepherdsville,KY,40165,(502) 869-7000,Only during school year,,1,37.996449,-85.719433,"<h4 class=""listing-infowindow-title"">Shepherdsville Elementary<img src=""/assets/plugins/dare-to-care-listings/public/img/kids-cafe.png"" /></h4><p class=""listing-infowindow-address"">527 W. Blue Lick Road, Shepherdsville, 40165 KY</p><p class=""listing-infowindow-phone"">(502) 869-7000</p><p class=""listing-infowindow-directions""><a href=""#"" onclick=""app.getDirections(7501); return false;"">Get Directions</a></p><h5 class=""listing-infowindow-hours"">Hours</h5><span>Monday: </span><span>4:30 PM-5:15 PM</span><br><span>Tuesday: </span><span>4:30 PM-5:15 PM</span><br><span>Thursday: </span><span>4:30 PM-5:15 PM</span><br><p class=""listing-infowindow-notes"">Only during school year</p><p class=""listing-infowindow-disclaimer""><em>Call before visiting the site to check on geographic restrictions/eligibility.</em></p>",04:30:00,05:15:00,2,04:30:00,05:15:00,4,04:30:00,05:15:00,,,,,,,,,,,,,,,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
